frame,time_s,person,L Knee Flex,R Knee Flex,L Hip Flex,R Hip Flex,L Elbow Flex,R Elbow Flex,L Shoulder Flex,R Shoulder Flex,Trunk Inclination
275,13.750000,0,176.1965,175.7089,169.6255,166.5811,176.1031,156.8547,122.4242,19.2210,4.6185
276,13.800000,0,175.2698,174.8681,170.0768,165.9725,155.7618,157.1338,130.4012,19.2231,4.6635
277,13.850000,0,175.3027,174.4107,170.1281,165.2313,154.1444,157.0337,136.8787,19.1175,5.0160
278,13.900000,0,175.1975,174.7239,170.4310,165.1214,150.9777,156.5206,142.3824,19.3730,5.1997
279,13.950000,0,175.4738,175.0826,170.2363,164.7801,145.7790,156.4451,147.5379,19.4144,5.5254
280,14.000000,0,175.4248,174.5641,169.9227,164.0132,140.5000,155.6888,151.6206,19.6863,6.0257
281,14.050000,0,175.5217,174.3113,169.2293,163.2186,137.1185,155.4570,155.0968,20.0368,6.5735
282,14.100000,0,175.6192,174.2816,169.0033,162.8223,136.1856,155.2169,157.8113,20.2604,6.8452
283,14.150000,0,176.0263,173.6810,169.1938,162.3721,138.8041,155.1180,159.3826,20.3889,6.9853
284,14.200000,0,176.0427,173.6305,169.6380,162.5213,142.2165,154.5249,159.7143,20.2391,6.8724
285,14.250000,0,175.8566,173.9731,169.5172,162.6601,145.2991,153.9768,158.0196,20.3878,6.8927
286,14.300000,0,175.3901,173.5193,169.7880,162.7572,147.5804,154.7349,155.3810,20.2731,6.6280
287,14.350000,0,176.1094,174.2780,169.6438,163.0704,150.2141,154.5434,150.2223,20.2903,6.5017
288,14.400000,0,175.6833,174.5685,168.8502,162.7685,155.1500,155.3834,142.9298,20.1589,6.6486
289,14.450000,0,175.0380,175.0031,168.2469,163.5187,159.7945,155.2171,134.2025,20.0438,6.2918
290,14.500000,0,175.2114,175.4441,168.2106,164.4309,163.1501,155.6381,124.3286,19.8679,5.9029
291,14.550000,0,175.5622,176.0195,168.4682,164.9511,164.4811,155.9705,112.2293,19.9171,5.6272
292,14.600000,0,175.6664,175.9330,168.5493,165.4353,164.1840,155.7404,98.8730,19.8486,5.3049
293,14.650000,0,176.0591,175.7648,168.7411,165.8631,163.8429,155.5133,84.8149,19.5555,5.1243
294,14.700000,0,176.7425,176.3959,169.5727,166.3217,164.9721,155.5403,72.6290,19.1635,4.8435
295,14.750000,0,177.9937,176.7539,170.7619,166.5534,165.5960,155.0740,62.3534,18.9591,4.4452
296,14.800000,0,177.7666,176.6444,170.4153,166.3980,163.3785,155.1666,52.9359,18.9037,4.4473
297,14.850000,0,177.6742,176.9104,169.8029,166.6541,160.8704,155.0566,44.5688,18.5499,4.5622
298,14.900000,0,178.3894,177.4971,170.2143,167.4209,159.4170,153.5550,37.2661,18.1923,4.3838
299,14.950000,0,178.2009,177.2661,170.0577,167.4415,161.9039,152.9962,31.6004,18.0128,4.4287
300,15.000000,0,177.4552,176.8334,169.3305,166.9220,165.1278,152.5425,27.4096,18.0642,4.6678
301,15.050000,0,177.6558,176.9310,169.4050,167.0080,168.4035,152.6465,25.2144,17.9420,4.5112
302,15.100000,0,177.5334,176.9558,168.9683,167.5176,169.8929,152.8763,24.8187,17.8167,4.2904
303,15.150000,0,177.5025,177.6502,169.1287,167.8151,170.3117,154.6370,25.9097,18.0214,4.1151
304,15.200000,0,177.0134,177.5759,169.5667,167.6421,170.9537,159.0068,28.1155,18.8662,4.1245
305,15.250000,0,176.1190,177.3694,170.0685,168.1063,170.8728,162.9359,31.1767,21.0613,3.6360
306,15.300000,0,175.8800,177.7777,170.1454,168.9997,170.2537,164.4574,35.8264,24.4454,3.0835
307,15.350000,0,175.1199,178.0896,169.7097,169.0413,169.1611,165.4303,41.2468,29.8896,2.8973
308,15.400000,0,174.6694,177.8155,169.2365,168.6527,165.7827,165.4162,47.3380,37.0462,3.0639
309,15.450000,0,174.0478,177.8336,168.3165,168.3702,165.8413,164.3322,54.0792,45.3563,3.3183
310,15.500000,0,173.6031,177.6685,168.1969,168.0714,165.0758,161.4993,60.2500,53.3436,3.4184
311,15.550000,0,173.0536,177.5544,167.7383,167.5016,164.8878,152.4638,66.2559,59.7874,3.6613
312,15.600000,0,172.7654,177.5462,167.8343,167.4320,165.0686,138.8420,71.0732,65.6351,3.5574
313,15.650000,0,173.0079,177.4430,167.9615,167.4798,165.0504,122.0659,74.5758,70.3124,3.5590
314,15.700000,0,173.1300,177.1225,167.9524,167.2117,165.2394,109.2134,77.5457,74.0753,3.7459
315,15.750000,0,173.6496,177.3418,167.8156,167.4443,166.1189,99.3010,79.1583,76.5456,3.9759
316,15.800000,0,173.8213,177.8018,167.8144,167.8931,166.0088,87.4242,80.0549,78.7273,4.0133
317,15.850000,0,173.8515,178.0895,167.7491,168.3864,166.3702,76.0683,80.7982,80.8752,3.9033
318,15.900000,0,173.9754,178.3624,167.7288,169.0020,166.6409,62.5209,81.4244,82.2260,3.8431
319,15.950000,0,174.0376,178.6695,167.4316,169.1066,167.0118,51.7203,81.5966,83.4261,4.1142
320,16.000000,0,174.2081,178.7865,167.1079,169.0693,167.7289,46.0284,81.5046,83.7228,4.2623
321,16.050000,0,174.5305,178.6876,167.0721,169.4035,168.0903,44.8953,81.6980,84.0263,4.1737
322,16.100000,0,174.3882,178.8285,166.8535,169.7102,168.1561,48.0946,81.8927,83.6394,4.1114
323,16.150000,0,174.4879,178.6250,167.1239,169.9712,168.4292,56.0520,81.8679,83.7479,3.9574
324,16.200000,0,174.2342,178.4216,167.1339,169.4793,168.4215,66.1387,81.7348,84.5276,4.0308
325,16.250000,0,174.2208,178.4529,167.2578,169.0491,167.8734,77.7277,81.5676,85.0092,4.1356
326,16.300000,0,174.0249,178.2307,167.5555,168.9279,167.8974,92.4535,82.1645,85.7625,3.9106
327,16.350000,0,173.8787,178.2135,167.5929,168.8984,168.3214,108.7147,82.7803,86.2622,3.8083
328,16.400000,0,173.8106,177.5564,167.7898,168.4366,168.7384,125.0272,82.7378,85.4234,3.6849
329,16.450000,0,173.6305,177.6611,167.8713,168.1675,169.1110,140.9596,82.7009,84.8096,3.7164
330,16.500000,0,173.6063,177.9030,168.1765,168.2519,169.9178,154.2004,82.3136,83.8693,3.6720
331,16.550000,0,173.9869,178.0728,168.3015,168.0038,169.7829,164.3580,82.1569,82.0118,3.8064
332,16.600000,0,173.6214,177.9171,168.1359,168.1013,169.8630,171.1746,82.0348,79.9189,3.7562
333,16.650000,0,173.7823,178.0926,168.3010,168.0539,169.8746,174.6135,81.9997,78.5664,3.7321
334,16.700000,0,173.9763,178.1821,169.0492,168.2747,170.0144,174.8798,81.8092,77.7711,3.5260
335,16.750000,0,173.8385,178.0871,169.0211,168.3355,169.8688,172.6971,81.6584,77.5487,3.5089
336,16.800000,0,173.8744,178.0171,168.8444,168.1639,169.9398,170.0651,81.7970,77.7872,3.5651
337,16.850000,0,173.8714,178.2474,168.8575,167.8774,169.5613,167.6054,81.8073,78.6702,3.6297
338,16.900000,0,173.0133,177.7502,168.6562,167.1755,169.2245,160.3791,81.5313,79.7503,3.7474
339,16.950000,0,172.9040,177.7164,168.6334,167.2249,168.8285,148.6386,82.0528,80.6437,3.6402
340,17.000000,0,172.8120,178.0952,168.7264,167.4848,169.7221,136.3791,82.3497,81.9702,3.5968
341,17.050000,0,172.7592,177.9061,168.5697,167.7755,170.1286,123.3091,82.2209,83.1770,3.5190
342,17.100000,0,172.6560,177.9097,168.1707,167.8528,170.3612,111.0758,82.1048,83.6937,3.6923
343,17.150000,0,172.8481,178.0353,168.6197,168.6281,170.8371,97.9923,81.7238,84.0134,3.3841
344,17.200000,0,173.0040,178.2426,168.3322,168.7619,171.0735,84.2176,81.4119,84.3234,3.5502
345,17.250000,0,173.2037,178.3413,167.9854,169.2077,171.1250,71.9279,81.3938,84.4438,3.5925
346,17.300000,0,173.4673,178.5796,167.6844,169.5143,170.8600,60.1156,81.3032,84.5481,3.6795
347,17.350000,0,173.2466,178.5461,167.7188,169.7223,170.4263,50.3617,81.0271,84.6681,3.6820
348,17.400000,0,173.6997,178.8416,167.4750,169.8422,170.3259,43.8647,80.8735,84.8474,3.9292
349,17.450000,0,173.4388,178.9948,167.2354,169.7136,170.6293,40.4690,80.7367,84.7108,4.1383
350,17.500000,0,173.1679,179.1800,167.3281,170.1905,170.9485,40.3285,80.9458,84.5205,3.9274
351,17.550000,0,173.0352,178.8385,167.4789,170.3067,171.1479,43.6577,80.5967,84.5040,3.7483
352,17.600000,0,172.6936,178.6785,167.2545,170.1164,171.4164,50.7225,80.7737,84.7080,3.8196
353,17.650000,0,173.1879,178.6960,167.3277,170.3800,171.3866,59.8578,80.7181,84.6900,3.8108
354,17.700000,0,173.3465,178.6346,167.0919,170.0715,171.1462,72.7698,80.7761,85.7651,3.9671
355,17.750000,0,173.7995,178.4445,167.0680,169.9179,170.8205,87.9025,81.1016,86.7757,4.0071
356,17.800000,0,173.8377,178.2789,167.1060,169.6835,169.9765,104.6003,81.3979,87.7854,3.9753
357,17.850000,0,173.6277,178.1200,166.9110,169.2311,170.4318,121.6704,81.3692,88.8476,4.1591
358,17.900000,0,173.3298,178.2639,166.9710,168.9019,170.6334,137.0417,81.1199,89.2960,4.1805
359,17.950000,0,172.7848,178.2409,166.9085,168.7621,171.0720,150.1571,80.8661,88.9941,4.2046
360,18.000000,0,172.2593,177.9729,167.3855,168.6772,171.1215,159.9910,80.5816,88.2704,4.0026
361,18.050000,0,172.8540,178.0264,168.0802,168.8074,171.4444,167.2584,80.3852,86.7598,3.7467
362,18.100000,0,172.5761,177.9755,168.4912,168.8787,172.1884,171.2000,79.6332,85.2881,3.4770
363,18.150000,0,172.9387,178.0590,169.1282,168.7389,172.8776,171.9375,78.6556,84.0898,3.3435
364,18.200000,0,172.9074,178.3134,169.4704,168.6154,173.2061,172.1536,78.4480,83.5845,3.4121
365,18.250000,0,172.8925,178.6852,169.0399,168.6363,171.6124,172.7079,78.6409,83.0798,3.6146
366,18.300000,0,173.2475,178.1589,168.9122,168.4938,167.6938,172.2943,79.2807,82.7339,3.7526
367,18.350000,0,174.0140,178.7117,168.9168,168.8741,159.9435,171.8138,80.2156,82.4331,3.7150
368,18.400000,0,174.1151,178.9936,169.0112,169.4790,148.8252,171.4695,82.1152,82.5204,3.3845
369,18.450000,0,174.1662,179.2582,168.9234,169.7241,135.7850,170.6652,83.6148,82.4576,3.1863
370,18.500000,0,174.3406,179.0240,168.8910,169.8348,122.7962,169.2537,84.3304,82.2669,3.3186
371,18.550000,0,173.9252,178.6458,168.8851,169.1392,107.3712,168.3977,84.7592,81.9238,3.5255
372,18.600000,0,173.8740,178.4340,168.7266,168.8766,94.7041,167.1768,84.8625,81.6266,3.7322
373,18.650000,0,173.8044,178.0081,168.3135,168.3572,82.5922,167.1289,84.6613,81.4247,4.0728
374,18.700000,0,173.5419,177.9388,168.2791,168.3308,70.9448,167.7670,85.0251,81.3780,4.0543
375,18.750000,0,173.2847,178.1915,168.3932,168.5719,57.4074,167.8158,85.2765,81.1904,3.8914
376,18.800000,0,173.4176,178.2726,168.5033,168.7344,45.6572,168.3638,85.9339,81.2579,3.7401
377,18.850000,0,173.3493,178.0818,168.7016,168.5865,39.8364,168.0756,85.7995,81.1502,3.7776
378,18.900000,0,173.4685,178.2003,169.0316,168.5343,37.1272,168.0407,85.5053,81.0946,3.7143
379,18.950000,0,172.7890,178.2621,168.3585,168.4506,41.7426,168.7966,85.1196,80.8382,3.8967
380,19.000000,0,172.6593,177.9120,168.1212,168.0750,48.9375,168.2792,84.5334,80.5310,4.0525
381,19.050000,0,172.4185,177.7960,167.6353,167.8751,58.6866,167.9352,83.8832,80.4797,4.1942
382,19.100000,0,171.7138,177.5899,167.1397,167.2563,73.9526,167.5280,83.9485,80.4920,4.4532
383,19.150000,0,171.9969,177.5805,167.6209,167.3759,92.3765,168.0866,84.7768,80.5379,4.3054
384,19.200000,0,173.2124,178.2144,168.0493,167.7321,111.2137,169.5435,85.4837,80.5030,4.1040
385,19.250000,0,173.6654,178.2724,168.4017,168.3310,126.2401,169.9198,85.8405,80.3103,3.7878
386,19.300000,0,174.1194,178.5560,168.6603,168.5098,139.2162,170.1302,85.7076,80.1996,3.7192
387,19.350000,0,174.1806,178.4859,168.7739,168.7314,150.0636,170.1316,85.0666,80.0144,3.5893
388,19.400000,0,174.2690,178.2022,169.2649,168.7859,160.1281,170.1969,83.8020,80.4323,3.4612
389,19.450000,0,174.5015,178.2386,169.7328,168.8264,167.3477,170.2690,82.0365,80.6351,3.3766
390,19.500000,0,175.5052,178.7225,169.8958,168.9798,171.9724,171.2459,80.1471,80.7425,3.4140
391,19.550000,0,175.0843,178.8927,169.4981,169.2168,174.3888,172.7367,78.5889,80.7535,3.4317
392,19.600000,0,175.1865,178.9372,169.3117,169.5788,175.2384,173.3460,77.7530,80.7462,3.3810
393,19.650000,0,175.5997,179.9287,169.6143,169.6948,174.4004,173.0475,77.2342,80.8347,3.3977
394,19.700000,0,175.2006,179.5183,169.3656,169.4470,172.6354,173.2581,77.4120,80.8544,3.4443
395,19.750000,0,175.2046,179.4590,169.3934,169.6451,169.7429,172.8195,77.9783,80.4960,3.3350
396,19.800000,0,175.5288,179.7019,169.6731,169.8190,164.4910,172.6098,78.5887,80.6003,3.2139
397,19.850000,0,175.7507,179.7851,170.0424,170.1271,156.0165,172.1041,79.5784,80.5970,2.9404
398,19.900000,0,175.5079,179.2914,170.2059,170.6555,143.6750,171.5344,80.6807,80.5636,2.5657
399,19.950000,0,175.7722,179.3785,170.4389,170.6103,127.3139,171.2943,81.0101,80.5164,2.4732
400,20.000000,0,174.6554,179.7216,169.6077,170.2856,110.5301,170.8117,81.2385,80.1929,2.7861
401,20.050000,0,174.5752,179.1870,169.2277,169.8459,95.2035,170.1030,81.7290,79.7111,3.1062
402,20.100000,0,173.8950,178.8674,168.6889,169.3624,81.8788,169.0034,82.3419,79.6032,3.3208
403,20.150000,0,173.5108,179.0194,168.3692,169.4348,70.0179,169.0914,82.7243,79.5273,3.4862
404,20.200000,0,173.8073,179.2715,168.5162,169.5285,56.4940,169.0932,83.4320,79.3311,3.4707
405,20.250000,0,173.7137,179.3187,168.6828,169.5692,45.1608,168.9826,83.9810,79.2379,3.3745
406,20.300000,0,173.7410,179.5428,169.2730,169.8408,38.2976,168.7937,84.2776,79.0292,3.1337
407,20.350000,0,173.8206,179.5365,169.3174,170.0815,35.6903,169.1452,84.5901,78.9462,2.9818
408,20.400000,0,173.8616,179.5675,169.0026,170.0022,36.9310,169.2381,84.3889,78.5048,3.0520
409,20.450000,0,173.7160,179.0857,168.9138,169.6823,41.9674,169.4990,83.4409,78.4566,3.2315
410,20.500000,0,173.4925,178.9552,168.5744,169.3797,48.3779,169.0146,82.7459,78.1007,3.4632
411,20.550000,0,173.2417,178.8886,168.3732,169.2706,57.9904,168.6898,82.0066,78.1988,3.5713
412,20.600000,0,173.1011,178.3026,168.5229,169.0346,71.3338,168.3763,81.7759,78.2825,3.5141
413,20.650000,0,172.9267,178.5762,168.5818,169.3022,86.6690,168.6658,81.8336,78.4883,3.4404
414,20.700000,0,172.6366,178.3592,168.4109,169.1796,101.4278,169.2539,82.5906,78.3639,3.3564
415,20.750000,0,173.5057,178.7884,168.7359,169.7540,115.2807,169.8644,83.4323,78.3645,3.0254
416,20.800000,0,174.1347,178.3775,168.7909,169.6600,127.9024,170.1800,83.6181,78.3691,2.9494
417,20.850000,0,174.7934,178.4192,169.1476,170.0985,140.4550,170.0373,83.3718,78.0637,2.7923
418,20.900000,0,174.8075,178.7650,169.4263,170.0225,151.4862,169.9248,82.3102,77.8063,2.8082
419,20.950000,0,174.3770,178.3744,169.1285,169.7163,160.7200,169.6491,79.7949,76.6012,2.8749
420,21.000000,0,174.6048,178.0095,169.6099,169.7632,167.6839,169.7582,75.8225,74.5607,2.6629
421,21.050000,0,173.8118,178.3408,169.5060,169.7487,173.6015,170.4125,70.5553,71.4857,2.5717
422,21.100000,0,174.1765,178.1689,169.7520,169.5458,174.7597,170.9372,63.6180,66.3170,2.6433
423,21.150000,0,174.1904,177.8939,168.8318,169.0904,169.9001,170.3058,54.9999,58.7893,3.2517
424,21.200000,0,175.2898,177.9830,169.0547,169.2723,166.3971,169.9501,46.3904,50.6502,3.5198
425,21.250000,0,175.3295,178.1846,168.7614,169.3777,163.9177,171.4125,37.8295,41.9896,3.8017
426,21.300000,0,176.1490,178.4539,168.9551,169.1696,165.6820,171.5207,30.7863,33.3999,4.0878
427,21.350000,0,176.5564,178.4457,168.2824,168.6041,167.6025,171.5679,25.5009,25.8577,4.5228
428,21.400000,0,176.9814,178.3446,167.7774,168.3041,169.6913,171.4987,21.8610,20.2706,4.7552
429,21.450000,0,177.7344,178.2250,168.2973,167.9223,171.8475,170.5831,19.3213,17.2923,4.8053
430,21.500000,0,177.9922,178.2801,168.1121,167.5069,172.4944,169.1938,17.8431,16.3736,5.0556
431,21.550000,0,178.4250,177.5830,168.5767,167.7933,172.8136,169.1207,17.1065,15.3435,5.2040
432,21.600000,0,178.5835,175.2517,169.4795,168.7009,172.9190,168.3162,16.7524,15.1381,5.2346
433,21.650000,0,177.8413,171.4204,169.7666,169.4781,172.5528,167.4567,16.9785,15.7464,5.5139
434,21.700000,0,177.1289,162.9793,169.1272,170.1121,171.0932,166.8401,17.3854,16.4567,6.0843
435,21.750000,0,176.9622,151.5772,168.3232,168.1725,170.1872,166.5044,18.3995,17.1907,6.6285
436,21.800000,0,176.6798,131.6321,167.5268,158.8919,170.2161,165.5858,18.8820,17.9866,6.8687
437,21.850000,0,176.8134,113.7791,167.5368,146.8056,170.4762,164.6916,19.5040,18.7158,6.8754
438,21.900000,0,176.9631,97.6445,168.1789,136.0534,170.7257,163.7165,20.4154,19.1292,6.7512
439,21.950000,0,175.8404,86.3405,169.5715,124.3409,169.8012,163.4391,21.0155,19.6073,6.0599
440,22.000000,0,176.6553,78.6869,170.6544,110.3544,169.8250,162.0878,21.1484,19.0454,5.2103
441,22.050000,0,176.9093,75.0243,170.9487,103.2206,169.0744,161.8018,21.5766,18.6930,5.2017
442,22.100000,0,175.1158,71.1354,171.5683,95.6558,169.0037,161.2266,21.7784,18.6424,5.1081
443,22.150000,0,173.1577,70.5758,172.0868,91.0698,168.9804,160.4915,21.7005,18.4025,5.0979
444,22.200000,0,173.2923,72.4285,172.2566,91.5066,168.8468,158.9034,21.7311,18.1291,5.1620
445,22.250000,0,173.9340,73.4771,172.0940,93.2451,169.9474,159.0317,21.5201,17.9686,5.2702
446,22.300000,0,175.0243,75.3857,170.8582,97.1795,169.9137,159.5779,21.8633,18.3012,5.8124
447,22.350000,0,175.1296,,169.6196,,169.6139,159.9073,22.2574,18.7311,6.4537
448,22.400000,0,175.7954,,168.6486,,169.4349,159.7740,22.2348,19.3894,7.1283
449,22.450000,0,175.6727,,168.2075,,168.8409,159.9694,21.5784,19.9071,7.5073
450,22.500000,0,175.6225,91.9202,167.6680,120.5990,168.5784,159.7855,20.7867,20.4541,7.8407
451,22.550000,0,176.5322,113.4270,166.9516,140.8027,167.9782,160.3888,19.8849,20.5044,7.9297
452,22.600000,0,178.2631,133.2705,165.7975,157.3924,167.5848,160.6040,18.7259,20.2686,7.9092
453,22.650000,0,179.2527,147.3391,165.4363,166.7687,167.6431,159.9457,17.6984,19.8660,7.5832
454,22.700000,0,179.0240,158.3372,165.6118,172.5037,167.6180,160.0301,16.8429,19.4541,7.3345
455,22.750000,0,178.5084,166.5535,165.1623,173.9098,167.6871,160.5560,15.9549,19.0548,6.9164
456,22.800000,0,177.0632,172.1162,164.7639,173.2410,167.7561,161.2482,15.5322,18.6534,6.3864
457,22.850000,0,176.7675,176.2713,165.5658,172.4506,169.2489,162.6223,15.3855,18.6296,5.6821
458,22.900000,0,176.5916,179.2420,165.7126,171.5235,170.1254,162.7164,15.6503,18.7671,5.1200
459,22.950000,0,176.2522,178.1028,165.9861,170.7829,171.0127,163.2745,15.7917,18.9005,4.6805
460,23.000000,0,176.8271,177.5523,166.3240,170.4010,170.7787,163.6135,16.1684,19.0528,4.2778
461,23.050000,0,176.8291,177.0135,166.5129,170.1250,170.3298,164.0290,16.2582,19.3318,3.9003
462,23.100000,0,176.6788,176.4406,166.7605,169.9030,170.5000,163.9260,16.5940,19.5457,3.6153
463,23.150000,0,176.9711,176.0794,167.1776,169.7553,171.4551,164.9482,17.5386,19.5590,3.3986
464,23.200000,0,176.9809,176.4884,167.3060,169.4811,170.7793,164.8704,18.5264,19.8287,3.3807
465,23.250000,0,176.0268,177.2396,166.8579,169.2715,168.6871,164.4022,19.6861,19.9209,3.6081
466,23.300000,0,176.9396,178.8064,167.6483,169.2258,166.8636,163.6999,20.9505,19.9682,3.8401
467,23.350000,0,177.5607,175.4602,168.5157,169.9935,167.3465,161.5307,22.3176,19.5987,3.9893
468,23.400000,0,177.7147,167.6092,169.3257,169.5941,167.8450,159.4425,23.4758,19.3815,4.2045
469,23.450000,0,177.8948,155.4731,169.8509,166.5461,167.4775,158.4811,24.4851,19.2508,4.4584
470,23.500000,0,176.7798,140.4021,170.3163,160.3451,166.6290,156.8903,25.5248,19.5639,4.8951
471,23.550000,0,175.8010,116.3001,170.2879,146.5438,166.7761,157.5099,26.3258,19.6919,5.3856
472,23.600000,0,175.3582,99.7292,170.3862,131.9576,166.5984,159.3427,26.3642,19.8290,5.4076
473,23.650000,0,174.7772,87.4426,171.2786,117.9638,167.4963,159.0751,25.9132,19.8167,5.1189
474,23.700000,0,172.1040,76.2013,172.0214,105.0055,167.8993,156.9740,25.3507,19.5693,4.9036
475,23.750000,0,170.0259,70.4806,172.1269,95.1013,168.4513,,24.3294,,4.5684
476,23.800000,0,169.4237,67.1422,171.7993,88.1558,168.4909,,23.4657,,4.4830
477,23.850000,0,166.8185,65.3760,169.6082,84.5993,169.0847,,22.8163,,4.6183
478,23.900000,0,167.3987,64.6336,169.8832,83.4718,170.4891,159.9109,22.7071,19.6959,4.7579
479,23.950000,0,168.3999,67.3309,170.3342,86.2571,169.9041,,22.3207,,4.9545
480,24.000000,0,169.5628,,170.1365,,170.8421,163.2457,22.9358,19.9537,5.4410
481,24.050000,0,169.9165,,170.0687,,171.2280,163.7339,23.5814,20.5270,5.6705
482,24.100000,0,170.8326,,170.5477,,170.5795,162.9345,24.5926,20.7837,6.0071
483,24.150000,0,170.5844,,170.7217,,170.0529,162.7027,25.5818,20.8990,6.4778
484,24.200000,0,171.1604,86.0062,171.4296,111.2352,169.5442,161.0170,26.0589,21.2295,6.4458
485,24.250000,0,171.8636,115.8485,171.2759,139.0322,169.2141,160.3330,26.2645,20.9792,6.3737
486,24.300000,0,172.8149,139.0164,170.8188,158.4896,168.7286,158.9232,26.4154,20.6910,6.3800
487,24.350000,0,173.6877,152.9339,170.3033,169.1498,169.2070,159.1657,26.4193,20.0517,6.3607
488,24.400000,0,175.8336,163.4194,169.1602,173.9934,168.8585,158.5957,26.1223,19.4446,6.1720
489,24.450000,0,177.5178,169.0886,168.0380,174.5517,168.7001,158.7835,25.2523,19.0099,6.0245
490,24.500000,0,178.7866,173.6184,167.6451,173.1320,167.9248,159.3476,23.3439,18.8457,5.7225
491,24.550000,0,179.2242,175.9972,166.8905,172.1995,168.4010,160.0449,21.1469,18.8560,5.3637
492,24.600000,0,178.0304,178.5697,166.0851,171.3595,170.3336,160.6956,18.8802,19.0903,5.2945
493,24.650000,0,177.7915,179.1228,166.3165,170.1447,173.9313,161.5763,16.9653,19.5106,4.8961
494,24.700000,0,177.9540,178.4572,166.4235,169.6949,174.6668,163.2032,15.4170,19.8055,4.8200
495,24.750000,0,178.3143,177.9799,166.7919,169.5344,174.8540,164.2359,14.2326,19.9729,4.7629
496,24.800000,0,177.9588,177.6994,167.8690,169.4362,174.5971,165.3210,14.5608,20.5189,4.5765
497,24.850000,0,175.0237,177.2255,169.5699,169.2746,172.7117,165.2097,15.1443,20.8778,4.8029
498,24.900000,0,170.6902,176.7155,171.4930,169.5657,171.9999,165.1626,16.1217,21.0473,5.0563
499,24.950000,0,164.6391,176.4457,174.1712,169.5106,170.4972,165.4368,17.2411,21.3442,5.3966
500,25.000000,0,156.0893,175.6185,173.1950,170.6205,170.2509,165.5473,18.3706,21.0914,5.2776
501,25.050000,0,,175.6932,166.4843,171.2853,169.0347,164.9617,19.3784,21.0375,5.2683
502,25.100000,0,127.6757,177.9201,155.1570,171.7840,167.5189,164.8650,20.0765,20.6738,5.0179
503,25.150000,0,114.7122,178.6640,142.3159,172.6713,166.0815,164.1145,20.4040,20.4501,4.4965
504,25.200000,0,,179.1345,,173.3847,163.0725,163.2930,20.4756,20.5028,3.8532
505,25.250000,0,101.0743,177.5671,121.3639,174.2436,159.9023,162.3635,20.5982,20.4073,3.1666
506,25.300000,0,87.2060,176.5597,106.3431,174.4699,159.0719,161.6754,20.8222,20.5067,3.2715
507,25.350000,0,79.9920,175.5910,96.0391,174.5329,157.0331,161.3387,20.9890,20.8261,3.5059
508,25.400000,0,76.8276,174.6192,90.5891,174.5378,,161.9624,20.9433,21.1068,3.9269
509,25.450000,0,76.0518,174.0070,88.6680,174.4094,154.3960,162.5112,21.1487,21.4625,4.2309
510,25.500000,0,75.5293,173.6797,90.3829,174.3737,,162.3748,21.1396,21.5609,4.3167
511,25.550000,0,78.7011,174.7053,95.3261,174.1081,154.8821,162.5186,21.6412,21.7464,4.1977
512,25.600000,0,86.2159,176.5248,102.9088,174.0497,155.8975,163.6073,22.3877,21.7867,3.9150
513,25.650000,0,97.3716,176.9356,115.9323,174.5874,157.5138,164.3397,22.9694,21.4436,3.5531
514,25.700000,0,112.5559,175.5232,131.1514,174.9874,159.7153,164.6724,23.2485,21.1513,3.4469
515,25.750000,0,127.9196,175.4850,144.5146,175.1866,161.9204,164.3852,23.2856,20.8676,3.4702
516,25.800000,0,142.9284,175.5012,155.5181,174.9340,163.4548,163.8865,22.4676,20.7971,3.5341
517,25.850000,0,156.3150,176.5996,163.0328,174.4551,164.3223,164.0094,22.0598,20.8716,3.3554
518,25.900000,0,164.4397,177.5733,166.1236,173.5465,165.9381,164.6900,21.7536,21.1419,3.3014
519,25.950000,0,171.0405,178.6741,167.0173,172.9724,166.7461,165.0864,21.8484,21.2555,3.1167
520,26.000000,0,176.2656,178.9749,167.1458,172.7228,166.9072,165.3011,22.3920,21.4225,2.8737
521,26.050000,0,179.3371,178.5828,167.2695,171.9910,167.9728,165.9947,22.9271,21.5919,3.0430
522,26.100000,0,177.8155,178.1514,166.7110,171.6941,166.9397,166.2336,23.8636,21.8183,2.9380
523,26.150000,0,176.4867,177.9176,166.1460,171.4467,167.0785,166.3046,24.9627,21.7519,3.0961
524,26.200000,0,175.7029,178.0915,165.6792,171.3600,167.4249,166.2070,25.5938,21.4973,3.3039
525,26.250000,0,174.9728,178.0094,165.3555,170.9301,167.9133,166.3650,25.7109,21.2355,3.6774
526,26.300000,0,174.9673,178.4925,164.8312,170.3354,168.4983,166.0239,25.5458,20.9734,4.1990
527,26.350000,0,175.9312,179.0030,164.3810,170.2401,168.1037,166.1944,24.9076,20.6083,4.5717
528,26.400000,0,176.9712,179.3906,164.7330,169.7623,168.0228,166.5943,24.2100,20.4160,5.0416
529,26.450000,0,176.9465,179.0919,165.7464,169.6237,169.1276,167.3320,23.2875,20.3088,5.4575
530,26.500000,0,171.4275,178.9717,168.6672,169.5286,168.6839,167.9138,22.0424,20.5929,5.8607
531,26.550000,0,162.9055,177.5860,172.3236,169.2464,168.2955,168.8188,21.0632,20.9276,6.3985
532,26.600000,0,151.4026,175.8916,171.8231,169.8554,166.3473,168.4204,21.0640,21.2301,6.3929
533,26.650000,0,136.3099,176.1293,163.2949,170.4653,164.0559,167.9186,21.6402,21.5088,6.2933
