frame,time_s,person,L Knee Flex,R Knee Flex,L Hip Flex,R Hip Flex,L Elbow Flex,R Elbow Flex,L Shoulder Flex,R Shoulder Flex,Trunk Inclination
67,3.350000,0,177.3986,174.6964,170.0399,175.3420,62.2698,,33.8870,,4.5209
68,3.400000,0,177.5908,174.9584,169.7959,175.0922,62.4084,,33.9014,,4.5996
69,3.450000,0,177.8462,175.1525,169.8670,174.9616,62.1252,,33.6241,,4.6320
70,3.500000,0,177.7319,174.6587,169.8581,175.0093,62.3972,,33.4735,,4.7040
71,3.550000,0,177.7887,174.2294,169.9969,175.4142,62.0390,,33.6669,,4.6230
72,3.600000,0,177.9862,174.4496,170.2094,175.7311,61.8489,,33.5646,,4.4600
73,3.650000,0,178.3765,175.1798,170.0835,175.3963,61.8045,,33.9604,,4.4340
74,3.700000,0,177.8277,174.7691,170.2250,175.7911,61.6679,,33.9514,,4.3510
75,3.750000,0,178.0662,174.4965,170.1712,176.0001,61.6216,,33.9195,,4.2564
76,3.800000,0,177.6266,173.9252,170.2624,176.6160,61.7058,,33.7700,,4.1019
77,3.850000,0,177.5976,173.7780,170.1027,176.5103,61.7425,,34.1028,,4.1721
78,3.900000,0,177.6091,173.6808,170.1575,176.8625,61.5780,,34.3793,,4.0853
79,3.950000,0,177.9272,174.0808,170.2905,176.5152,61.6658,,34.2646,,4.0797
80,4.000000,0,177.8430,174.2047,170.2072,176.3289,61.9092,,34.1540,,4.1481
81,4.050000,0,177.6208,174.2622,170.3472,176.4032,61.5012,,34.1722,,4.1288
82,4.100000,0,177.9285,174.6807,170.2313,176.2768,61.2104,,34.2167,,4.0665
83,4.150000,0,178.0425,174.6040,170.1033,175.8411,61.0198,,34.0754,,4.2649
84,4.200000,0,178.0898,174.2983,170.0097,175.7347,60.9906,,34.1953,,4.3913
85,4.250000,0,178.2657,174.7476,170.0397,175.8565,60.9170,,34.6462,,4.2251
86,4.300000,0,177.9534,174.6434,170.0341,175.4760,61.0963,,34.3761,,4.4203
87,4.350000,0,178.3568,174.5439,169.8756,175.3156,61.2536,,34.2577,,4.4892
88,4.400000,0,178.6321,174.4088,169.6526,175.3288,61.1366,,34.1895,,4.5411
89,4.450000,0,178.6155,175.0321,169.6916,175.1272,61.0941,,34.1956,,4.4338
90,4.500000,0,178.7468,175.2977,169.5985,175.6499,61.0067,,34.7902,,4.1498
91,4.550000,0,178.9766,175.0511,169.6216,175.9369,61.7610,,34.3942,,3.8508
92,4.600000,0,178.8488,174.1087,170.2565,176.2790,63.0574,,34.2217,,3.4715
93,4.650000,0,178.4588,173.4212,171.1624,177.0742,64.5150,,34.0099,,2.7626
94,4.700000,0,178.6701,,171.8554,,67.1507,,34.1377,,1.9255
95,4.750000,0,178.5675,174.2110,173.0661,177.6091,69.2372,,33.2060,,1.1027
96,4.800000,0,178.0240,174.9031,174.2648,176.5076,72.8340,,32.7008,,0.9941
97,4.850000,0,177.9136,175.5491,173.9255,174.3818,75.6654,,31.0166,,3.0171
98,4.900000,0,176.8183,174.7536,170.8465,171.3610,79.5838,,30.3576,,5.3878
99,4.950000,0,175.1844,,166.8041,,83.9537,,30.4737,,8.2990
100,5.000000,0,173.2433,,160.9935,,89.1763,,31.7852,,11.9489
101,5.050000,0,170.4483,,154.6762,,93.5843,,32.7279,,16.0063
102,5.100000,0,166.1177,,147.1181,,97.3820,,32.8667,,20.5053
